Sample_No,Date_Sampled,Sample_Point,Zone,Result,Units
5579970,2018-04-04,090B07,Dunolly,0.1,NTU
5460260,2018-02-20,090A04,Laanecoorie,0.1,NTU
5580962,2018-05-01,090B06,Dunolly,0.1,NTU
5581175,2018-05-08,090D02,Bealiba,0.05,NTU
5580768,2018-04-25,090C01,Tarnagulla,0.2,NTU
5605608,2018-04-04,090D02,Bealiba,0.05,NTU
5579969,2018-04-04,090A02,Laanecoorie,0.05,NTU
5691152,2018-07-24,090C02,Tarnagulla,0.1,NTU
5691150,2018-07-24,090A02,Laanecoorie,0.1,NTU
5691153,2018-07-24,090D02,Bealiba,0.1,NTU
5691151,2018-07-24,090B01,Dunolly,0.2,NTU
5734709,2018-08-07,090A03,Laanecoorie,0.2,NTU
5735206,2018-08-21,090B09,Dunolly,0.1,NTU
5735208,2018-08-21,090D07,Bealiba,0.2,NTU
5735339,2018-08-28,090B02,Dunolly,0.1,NTU
5735338,2018-08-28,090A02,Laanecoorie,0.3,NTU
5690253,2018-07-03,090B08,Dunolly,0.2,NTU
5690255,2018-07-03,090D08,Bealiba,0.1,NTU
5690254,2018-07-03,090C02,Tarnagulla,0.2,NTU
5734517,2018-07-31,090D03,Bealiba,0.3,NTU
5596590,2018-03-27,090D01,Bealiba,0.05,NTU
5766712,2018-09-25,090D07,Bealiba,0.2,NTU
5766709,2018-09-25,090A04,Laanecoorie,0.2,NTU
5766710,2018-09-25,090B01,Dunolly,0.1,NTU
5799128,2018-10-31,090B02,Dunolly,0.1,NTU
5580528,2018-04-17,090B09,Dunolly,0.1,NTU
5281310,2017-08-15,090A04,Laanecoorie,0.3,NTU
5460006,2018-02-13,090A03,Laanecoorie,0.2,NTU
5460007,2018-02-13,090B09,Dunolly,0.2,NTU
5559953,2018-02-27,090B06,Dunolly,0.05,NTU
5559954,2018-02-27,090D02,Bealiba,0.1,NTU
5589253,2018-06-19,090D02,Bealiba,0.1,NTU
5690791,2018-07-17,090B04,Dunolly,0.1,NTU
5589250,2018-06-19,090A05,Laanecoorie,0.3,NTU
5589251,2018-06-19,090B09,Dunolly,0.2,NTU
5605794,2018-06-26,090D03,Bealiba,0.2,NTU
5690790,2018-07-17,090A04,Laanecoorie,0.1,NTU
5690861,2018-07-17,090D07,Bealiba,0.2,NTU
5589252,2018-06-19,090C01,Tarnagulla,0.2,NTU
5798263,2018-10-09,090A05,Laanecoorie,0.4,NTU
5798264,2018-10-09,090B07,Dunolly,0.1,NTU
5798275,2018-10-09,090C04,Tarnagulla,0.1,NTU
5735341,2018-08-28,090D02,Bealiba,0.1,NTU
5766191,2018-09-11,090A03,Laanecoorie,0.2,NTU
5766193,2018-09-11,090C01,Tarnagulla,0.3,NTU
5690573,2018-07-10,090C01,Tarnagulla,0.1,NTU
5766480,2018-09-18,090B04,Dunolly,0.3,NTU
5735205,2018-08-21,090A04,Laanecoorie,0.2,NTU
5765905,2018-09-04,090D03,Bealiba,0.1,NTU
5734508,2018-07-31,090B05,Dunolly,0.1,NTU
5734509,2018-07-31,090C01,Tarnagulla,0.2,NTU
5734507,2018-07-31,090A05,Laanecoorie,0.5,NTU
5766481,2018-09-18,090C03,Tarnagulla,0.1,NTU
5460008,2018-02-13,090C02,Tarnagulla,0.2,NTU
5281311,2017-08-15,090B02,Dunolly,0.2,NTU
5798884,2018-10-23,090B09,Dunolly,0.2,NTU
5798885,2018-10-23,090C01,Tarnagulla,0.3,NTU
5798883,2018-10-23,090A03,Laanecoorie,0.2,NTU
5847266,2018-11-06,090C04,Tarnagulla,0.2,NTU
5847626,2018-11-13,090D01,Bealiba,0.3,NTU
5889173,2018-12-04,090A01,Laanecoorie,0.6,NTU
5889176,2018-12-04,090D01,Bealiba,0.3,NTU
5889175,2018-12-04,090C03,Tarnagulla,0.1,NTU
5766482,2018-09-18,090D01,Bealiba,0.2,NTU
5766479,2018-09-18,090A01,Laanecoorie,0.3,NTU
5889174,2018-12-04,090B05,Dunolly,0.1,NTU
5847265,2018-11-06,090B08,Dunolly,0.1,NTU
5581169,2018-05-08,090A02,Laanecoorie,0.2,NTU
5799130,2018-10-31,090D07,Bealiba,0.1,NTU
5799127,2018-10-31,090A01,Laanecoorie,0.3,NTU
5847625,2018-11-13,090C03,Tarnagulla,0.2,NTU
5848190,2018-11-27,090A03,Laanecoorie,0.1,NTU
5848192,2018-11-27,090C01,Tarnagulla,0.2,NTU
5889871,2018-12-18,090C02,Tarnagulla,0.1,NTU
5889870,2018-12-18,090B03,Dunolly,0.1,NTU
5799129,2018-10-31,090C03,Tarnagulla,0.2,NTU
5847267,2018-11-06,090D02,Bealiba,0.1,NTU
5847254,2018-11-06,090A04,Laanecoorie,0.2,NTU
5847945,2018-11-20,090C02,Tarnagulla,0.2,NTU
5889869,2018-12-18,090A05,Laanecoorie,0.1,NTU
5847944,2018-11-20,090B04,Dunolly,0.2,NTU
5798276,2018-10-09,090D03,Bealiba,0.1,NTU
5848193,2018-11-27,090D08,Bealiba,0.1,NTU
5848191,2018-11-27,090B01,Dunolly,0.1,NTU
5581417,2018-05-15,090A05,Laanecoorie,0.2,NTU
5735207,2018-08-21,090C03,Tarnagulla,0.3,NTU
5734711,2018-08-07,090C02,Tarnagulla,0.2,NTU
5734712,2018-08-07,090D08,Bealiba,0.3,NTU
5734710,2018-08-07,090B07,Dunolly,0.3,NTU
5766711,2018-09-25,090C02,Tarnagulla,0.2,NTU
5765902,2018-09-04,090A05,Laanecoorie,0.3,NTU
5581170,2018-05-08,090B08,Dunolly,0.1,NTU
5889872,2018-12-18,090D07,Bealiba,0.2,NTU
5581626,2018-05-22,090C03,Tarnagulla,0.1,NTU
5581625,2018-05-22,090B01,Dunolly,0.2,NTU
5581627,2018-05-22,090D07,Bealiba,0.2,NTU
5581624,2018-05-22,090A01,Laanecoorie,1.5,NTU
5581796,2018-05-29,090D08,Bealiba,0.1,NTU
5581794,2018-05-29,090B05,Dunolly,0.05,NTU
5581793,2018-05-29,090A03,Laanecoorie,0.1,NTU
5766192,2018-09-11,090B06,Dunolly,0.2,NTU
5735340,2018-08-28,090C02,Tarnagulla,0.2,NTU
5581795,2018-05-29,090C04,Tarnagulla,0.05,NTU
5690574,2018-07-10,090D01,Bealiba,0.2,NTU
5690571,2018-07-10,090A05,Laanecoorie,0.3,NTU
5847623,2018-11-13,090A05,Laanecoorie,0.2,NTU
5581171,2018-05-08,090C01,Tarnagulla,0.2,NTU
5581424,2018-05-15,090C02,Tarnagulla,0.2,NTU
5581418,2018-05-15,090B04,Dunolly,0.2,NTU
5581425,2018-05-15,090D03,Bealiba,0.1,NTU
